691198;1011;9;-12;-48;11;57;0;-61;-305;22;99420;42.441;31680;4.31689e-05;
691198;1009;10;-9;-49;10;54;366;0;-61;22;99417;42.431;31680;7.47708e-05;
691199;1016;8;-7;-50;12;55;244;-122;-244;22;99419;42.431;31680;0.00017799;
691199;1009;9;-13;-49;10;54;183;0;-183;22;99424;42.441;31680;4.31689e-05;
691199;1005;7;-13;-49;11;54;122;-61;-305;22;99418;42.441;31680;4.31689e-05;
691200;1009;5;-13;-49;10;54;183;-183;-61;22;99417;42.441;31680;4.31689e-05;
691200;1005;4;-9;-49;11;55;183;0;-122;22;99418;42.431;31680;4.31689e-05;
691200;1005;4;-7;-48;9;55;305;0;-244;22;99418;42.431;31680;4.31689e-05;
691200;1011;5;-13;-49;11;56;244;-366;-61;22;99423;42.441;31680;0;
691200;1009;6;-11;-49;9;55;-61;61;-244;22;99416;42.431;31680;6.10501e-05;
691201;1007;8;-14;-49;10;55;183;-122;-122;22;99418;42.441;31680;4.31689e-05;
691201;1007;6;-11;-49;10;55;61;-122;-122;22;99418;42.441;31680;0;
691201;1006;6;-9;-48;10;55;0;-183;-61;22;99419;42.441;31680;0;
691202;1005;9;-15;-48;12;55;183;-122;-61;22;99421;42.431;31680;6.10501e-05;
691202;1004;7;-8;-49;10;54;0;61;-122;22;99421;42.441;31680;4.31689e-05;
691202;1010;9;-7;-49;10;57;61;0;0;22;99422;42.441;31680;7.47708e-05;
691202;1010;7;-14;-48;10;54;61;122;-122;22;99418;42.441;31680;0.000232472;
691202;1011;7;-12;-48;10;55;244;61;-122;22;99417;42.441;31680;0;
691203;1009;9;-14;-48;10;55;122;122;-244;22;99417;42.441;31680;0;
691203;1011;5;-10;-48;10;54;0;-61;-122;22;99421;42.431;31680;8.63378e-05;
691203;1010;9;-10;-49;10;55;122;244;-244;22;99416;42.431;31680;7.47708e-05;
691204;1012;6;-7;-49;10;55;305;122;0;22;99418;42.441;31680;7.47708e-05;
